id,title,vote_average,vote_count,revenue,budget,popularity,genres,release_date,imdb_id,production_countries,original_language,ROI
27205,Inception,8.364,34495,825532764,160000000,83.952,"Action, Science Fiction, Adventure",2010-07-15,tt1375666,"United Kingdom, United States of America",en,4.159579775
157336,Interstellar,8.417,32571,701729206,165000000,140.241,"Adventure, Drama, Science Fiction",2014-11-05,tt0816692,"United Kingdom, United States of America",en,3.2529042787878786
155,The Dark Knight,8.512,30619,1004558444,185000000,130.643,"Drama, Action, Crime, Thriller",2008-07-16,tt0468569,"United Kingdom, United States of America",en,4.430045643243243
19995,Avatar,7.573,29815,2923706026,237000000,79.932,"Action, Adventure, Fantasy, Science Fiction",2009-12-15,tt0499549,"United States of America, United Kingdom",en,11.336312345991562
24428,The Avengers,7.71,29166,1518815515,220000000,98.082,"Science Fiction, Action, Adventure",2012-04-25,tt0848228,United States of America,en,5.903706886363636
293660,Deadpool,7.606,28894,783100000,58000000,72.735,"Action, Adventure, Comedy",2016-02-09,tt1431045,United States of America,en,12.501724137931035
299536,Avengers: Infinity War,8.255,27713,2052415039,300000000,154.34,"Adventure, Action, Science Fiction",2018-04-25,tt4154756,United States of America,en,5.841383463333333
550,Fight Club,8.438,27238,100853753,63000000,69.498,Drama,1999-10-15,tt0137523,United States of America,en,0.6008532222222223
118340,Guardians of the Galaxy,7.906,26638,772776600,170000000,33.255,"Action, Science Fiction, Adventure",2014-07-30,tt2015381,United States of America,en,3.545744705882353
680,Pulp Fiction,8.488,25893,213900000,8500000,74.862,"Thriller, Crime",1994-09-10,tt0110912,United States of America,en,24.16470588235294
13,Forrest Gump,8.477,25409,677387716,55000000,92.693,"Comedy, Drama, Romance",1994-06-23,tt0109830,United States of America,en,11.316140290909091
671,Harry Potter and the Philosopher's Stone,7.916,25379,976475550,125000000,185.482,"Adventure, Fantasy",2001-11-16,tt0241527,"United Kingdom, United States of America",en,6.8118044
1726,Iron Man,7.64,24874,585174222,140000000,72.897,"Action, Science Fiction, Adventure",2008-04-30,tt0371746,United States of America,en,3.1798158714285716
68718,Django Unchained,8.171,24672,425368238,100000000,54.224,"Drama, Western",2012-12-25,tt1853728,United States of America,en,3.25368238
278,The Shawshank Redemption,8.702,24649,28341469,25000000,122.61,"Drama, Crime",1994-09-23,tt0111161,United States of America,en,0.13365876
299534,Avengers: Endgame,8.263,23857,2800000000,356000000,91.756,"Adventure, Science Fiction, Action",2019-04-24,tt4154796,United States of America,en,6.865168539325842
603,The Matrix,8.206,23815,463517383,63000000,78.564,"Action, Science Fiction",1999-03-30,tt0133093,United States of America,en,6.357418777777778
597,Titanic,7.9,23637,2264162353,200000000,102.348,"Drama, Romance",1997-11-18,tt0120338,United States of America,en,10.320811765
